;tschun fremden all;augen nacht ließ;vater mutter wußte;andreas stand hand;mal onkel britt;effendi nil asl;doralice egloff baron;störtebecker augen claus;leute gekommen stehen;thekla ward oheim;darnach haus stand;gottschalk hottentotten deutschen;malimmes nit herzog;allert erdme sophie;asmus semper the
allert erdme sophie;0.020323145600000002;0.428771455;0.2174471724;0.0968292895;0.0424258283;0.0102166696;0.0307995044;0.1239801122;0.4122703264;0.0718085276;0.0340842274;0.0052015303;0.0170267353;1.0;0.0126420807
andreas stand hand;0.0707514301;0.4092082173;0.2357522169;1.0;0.0495623963;0.0170085043;0.08425297100000001;0.0790301006;0.443862599;0.0437190432;0.0250352446;0.024226390400000002;0.016642088200000002;0.0968292895;0.0479673718
asmus semper the;0.019745056100000002;0.1777124669;0.1753590069;0.0479673718;0.027827633600000002;0.0004030123;0.0199412336;0.0562690547;0.1858986464;0.0250984972;0.0093010168;0.0062761172;0.0005994127;0.0126420807;1.0
augen nacht ließ;0.2146602135;1.0;0.6150988577000001;0.4092082173;0.3392575316;0.1433836446;0.42688747190000004;0.49885498580000004;0.8378516288000001;0.3169886099;0.2769828566;0.1476347956;0.3285632985;0.428771455;0.1777124669
darnach haus stand;0.0017093386000000001;0.2769828566;0.0791336111;0.0250352446;0.0102518118;0.0009604648;0.0078001852;0.06724281430000001;0.1194338417;0.056927359100000005;1.0;0.0006962131;0.0379216433;0.0340842274;0.0093010168
doralice egloff baron;0.017094638000000002;0.42688747190000004;0.3322951669;0.08425297100000001;0.079799481;0.0018134955;1.0;0.07606015120000001;0.3505299613;0.020688311100000002;0.0078001852;0.0023401462;0.0056715864;0.0307995044;0.0199412336
effendi nil asl;0.0089345962;0.1433836446;0.048763553200000004;0.0170085043;0.0029586891;1.0;0.0018134955;0.0342352467;0.46040145930000004;0.0159791368;0.0009604648;0.0086995305;0.0010066537;0.0102166696;0.0004030123
gottschalk hottentotten deutschen;0.0238351673;0.1476347956;0.0811641456;0.024226390400000002;0.12080646310000001;0.0086995305;0.0023401462;0.0232153751;0.1967924228;0.0116981806;0.0006962131;1.0;0.0013758963;0.0052015303;0.0062761172
leute gekommen stehen;0.3587796831;0.8378516288000001;0.6762121043;0.443862599;0.2882539799;0.46040145930000004;0.3505299613;0.318268135;1.0;0.2259621865;0.1194338417;0.1967924228;0.1003628429;0.4122703264;0.1858986464
mal onkel britt;0.0302560777;0.3392575316;0.2082510525;0.0495623963;1.0;0.0029586891;0.079799481;0.0436326807;0.2882539799;0.010980058400000001;0.0102518118;0.12080646310000001;0.0039037957;0.0424258283;0.027827633600000002
malimmes nit herzog;0.0009968213;0.3285632985;0.0307716045;0.016642088200000002;0.0039037957;0.0010066537;0.0056715864;0.0716743743;0.1003628429;0.0366956919;0.0379216433;0.0013758963;1.0;0.0170267353;0.0005994127
störtebecker augen claus;0.08033373690000001;0.49885498580000004;0.2164857473;0.0790301006;0.0436326807;0.0342352467;0.07606015120000001;1.0;0.318268135;0.13925257900000002;0.06724281430000001;0.0232153751;0.0716743743;0.1239801122;0.0562690547
thekla ward oheim;0.0158995246;0.3169886099;0.089301294;0.0437190432;0.010980058400000001;0.0159791368;0.020688311100000002;0.13925257900000002;0.2259621865;1.0;0.056927359100000005;0.0116981806;0.0366956919;0.0718085276;0.0250984972
tschun fremden all;1.0;0.2146602135;0.1727805539;0.0707514301;0.0302560777;0.0089345962;0.017094638000000002;0.08033373690000001;0.3587796831;0.0158995246;0.0017093386000000001;0.0238351673;0.0009968213;0.020323145600000002;0.019745056100000002
vater mutter wußte;0.1727805539;0.6150988577000001;1.0;0.2357522169;0.2082510525;0.048763553200000004;0.3322951669;0.2164857473;0.6762121043;0.089301294;0.0791336111;0.0811641456;0.0307716045;0.2174471724;0.1753590069
